timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2026-01-02,157.25,159.535,157.19,159.29,52.2017316044918,7846559,0.0,1.0
2026-01-03,159.77,160.3,158.93,159.3,52.2050087550728,6252020,0.0,1.0
2026-01-04,159.21,159.54,157.49,157.76,51.7003275656013,6427490,0.0,1.0
2026-01-05,157.92,158.1,155.6,156.71,51.356226754598,7222053,0.0,1.0
2026-01-08,156.7,158.295,156.675,158.25,51.8609079440695,6893626,0.0,1.0
2026-01-09,157.93,159.34,157.73,159.31,52.2082859056538,7774126,0.0,1.0
2026-01-10,159.56,161.5001,159.56,161.29,52.8571617206886,6707346,0.0,1.0
2026-01-11,161.35,161.89,160.17,161.11,52.7981730102309,4785069,0.0,1.0
2026-01-12,161.37,161.545,160.38,161.32,52.8669931724316,4542989,0.0,1.0
2026-01-16,161.44,162.4,161.23,161.83,53.0341278520618,5677530,0.0,1.0
2026-01-17,161.38,161.985,160.63,161.07,52.785064407907,4942554,0.0,1.0
2026-01-18,161.16,163.39,160.68,163.24,53.4962060839805,6063537,0.0,1.0
2026-01-19,163.43,163.57,161.44,162.38,53.2143711340159,6391765,0.0,1.0
2026-01-22,162.79,162.95,161.5,162.39,53.2176482845968,4646127,0.0,1.0
2026-01-23,162.12,162.85,161.77,162.8,53.3520114584172,4022172,0.0,1.0
2026-01-24,162.9,163.065,160.32,160.5,52.5982668247909,7025712,0.0,1.0
2026-01-25,161.4,162.87,160.42,162.84,53.3651200607411,5456534,0.0,1.0
2026-01-26,163.05,164.38,162.66,164.27,53.8337525938218,5248770,0.0,1.0
2026-01-29,164.35,165.405,163.52,165.04,54.0860931885576,6080104,0.0,1.0
2026-01-30,164.7,165.805,163.62,165.59,54.2663364705117,5090004,0.0,1.0
2026-01-31,167.8,167.8,165.11,165.25,54.1549133507582,8711625,0.0,1.0
2026-02-01,165.7,168.354,165.18,168.31,55.1577214285393,6930851,0.0,1.0
2026-02-02,168.15,170.575,167.92,169.57,55.5706424017432,7223562,0.0,1.0
2026-02-05,170.01,170.01,168.07,168.66,55.2724216988737,6381690,0.0,1.0
2026-02-06,168.79,169.95,168.34,169.81,55.6492940156869,4729928,0.0,1.0
2026-02-07,170.27,170.66,169.2,169.38,55.5083765407046,5694155,0.0,1.0
2026-02-08,169.38,170.55,169.14,169.37,55.5050993901236,4809309,0.0,1.0
2026-02-09,169.39,169.73,168.92,169.28,55.4756050348947,4776622,0.0,1.0
2026-02-12,169.23,170.36,169.05,170.3,55.8098743941551,4931680,0.0,1.0
2026-02-13,170.62,171.07,168.27,169.14,55.4297249267609,6191405,0.0,1.0
2026-02-14,168.75,168.875,167.54,168.6,55.2527587953878,6161534,0.0,1.0
2026-02-15,169.8,169.85,167.97,169.29,55.4788821854757,5649619,0.0,1.0
2026-02-16,170.29,171.93,169.29,170.36,55.829537297641,7457847,0.0,1.0
2026-02-20,178.48,181.35,175.23,175.86,57.6319701171821,23929538,0.0,1.0
2026-02-21,175.0,175.58,172.8,173.7,56.9241055916896,13517177,0.0,1.0
2026-02-22,173.88,175.47,173.31,175.41,57.4844983410378,9837645,0.0,1.0
2026-02-23,176.09,177.65,175.31,175.56,57.5336555997526,24788589,0.0,1.0
2026-02-26,59.12,59.84,58.18,59.6,58.5954523879914,32068658,0.0,3.0
